2023-05-02 13:08:00,128 WARN  [restartedMain] org.springframework.security.config.annotation.web.builders.WebSecurity:You are asking Spring Security to ignore Ant [pattern='index.html']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-05-02 13:08:00,128 INFO  [restartedMain] org.springframework.security.web.DefaultSecurityFilterChain:Will not secure Ant [pattern='index.html']
2023-05-02 13:08:00,129 WARN  [restartedMain] org.springframework.security.config.annotation.web.builders.WebSecurity:You are asking Spring Security to ignore Ant [pattern='/images/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-05-02 13:08:00,129 INFO  [restartedMain] org.springframework.security.web.DefaultSecurityFilterChain:Will not secure Ant [pattern='/images/**']
2023-05-02 13:08:00,129 WARN  [restartedMain] org.springframework.security.config.annotation.web.builders.WebSecurity:You are asking Spring Security to ignore Ant [pattern='/css/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-05-02 13:08:00,129 INFO  [restartedMain] org.springframework.security.web.DefaultSecurityFilterChain:Will not secure Ant [pattern='/css/**']
2023-05-02 13:08:00,129 WARN  [restartedMain] org.springframework.security.config.annotation.web.builders.WebSecurity:You are asking Spring Security to ignore Ant [pattern='/js/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-05-02 13:08:00,129 INFO  [restartedMain] org.springframework.security.web.DefaultSecurityFilterChain:Will not secure Ant [pattern='/js/**']
2023-05-02 13:08:00,150 INFO  [restartedMain] org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer:LiveReload server is running on port 35729
2023-05-02 13:08:00,153 INFO  [restartedMain] org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver:Exposing 15 endpoint(s) beneath base path '/actuator'
2023-05-02 13:08:00,203 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer:Tomcat started on port(s): 8080 (http) with context path ''
2023-05-02 13:08:00,216 INFO  [restartedMain] com.yigiter.librarymanagement.LibraryManagementApplication:Started LibraryManagementApplication in 4.361 seconds (JVM running for 5.079)
2023-05-02 13:08:00,575 INFO  [RMI TCP Connection(1)-192.168.137.1] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-05-02 13:09:39,774 INFO  [http-nio-8080-exec-3] org.springdoc.api.AbstractOpenApiResource:Init duration for springdoc-openapi is: 224 ms
2023-05-02 13:34:25,032 INFO  [SpringApplicationShutdownHook] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean:Closing JPA EntityManagerFactory for persistence unit 'default'
2023-05-02 13:34:25,034 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource:HikariPool-1 - Shutdown initiated...
2023-05-02 13:34:25,037 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource:HikariPool-1 - Shutdown completed.
2023-05-02 14:40:33,330 INFO  [restartedMain] com.yigiter.librarymanagement.LibraryManagementApplication:Starting LibraryManagementApplication using Java 11.0.16 on RY with PID 15372 (E:\DERSLER\BACKEND\SPRİNG BOOT\App\MyApp\LibraryManagement_v2\target\classes started by mryig in E:\DERSLER\BACKEND\SPRİNG BOOT\App\MyApp\LibraryManagement_v2)
2023-05-02 14:40:33,331 DEBUG [restartedMain] com.yigiter.librarymanagement.LibraryManagementApplication:Running with Spring Boot v2.7.11, Spring v5.3.27
2023-05-02 14:40:33,332 INFO  [restartedMain] com.yigiter.librarymanagement.LibraryManagementApplication:No active profile set, falling back to 1 default profile: "default"
2023-05-02 14:40:33,365 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor:Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-05-02 14:40:33,365 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor:For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-05-02 14:40:34,059 INFO  [restartedMain] org.springframework.data.repository.config.RepositoryConfigurationDelegate:Bootstrapping Spring Data JPA repositories in DEFAULT mode.
